seed,clean,notransfer,random,full,Y_before,Y_after,joint_X,joint_Y,forget_X,forget_Y,admit,deny,r1,r2,r4,r8,r16
0,1.000000,0.000000,0.200000,0.800000,1.000000,0.800000,0.600000,1.000000,0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.400000,0.800000
1,1.000000,0.200000,0.000000,0.600000,1.000000,1.000000,0.600000,1.000000,0.000000,0.000000,0.600000,0.200000,0.200000,0.200000,0.200000,0.200000,0.600000
2,1.000000,0.000000,0.000000,0.800000,1.000000,0.800000,0.600000,1.000000,0.000000,0.400000,0.800000,0.000000,0.000000,0.000000,0.200000,0.600000,0.800000
3,1.000000,0.000000,0.000000,0.400000,1.000000,0.800000,0.200000,1.000000,0.200000,0.400000,0.400000,0.000000,0.000000,0.000000,0.000000,0.400000,0.400000
4,1.000000,0.000000,0.000000,0.800000,1.000000,0.400000,0.600000,0.600000,0.000000,0.200000,0.800000,0.000000,0.200000,0.000000,0.000000,0.600000,0.800000
5,1.000000,0.200000,0.200000,0.800000,1.000000,0.800000,0.600000,1.000000,0.000000,0.200000,0.800000,0.200000,0.200000,0.200000,0.400000,0.600000,0.800000
6,1.000000,0.000000,0.000000,0.400000,1.000000,1.000000,0.400000,1.000000,0.000000,0.200000,0.400000,0.000000,0.000000,0.000000,0.200000,0.200000,0.400000
7,1.000000,0.200000,0.000000,0.800000,1.000000,0.800000,0.600000,1.000000,0.000000,0.200000,0.800000,0.200000,0.200000,0.200000,0.400000,0.600000,0.800000
8,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.600000,0.800000,0.000000,0.200000,0.600000,0.000000,0.000000,0.000000,0.400000,0.600000,0.600000
9,1.000000,0.200000,0.000000,0.800000,1.000000,0.800000,0.800000,0.800000,0.000000,0.200000,0.800000,0.200000,0.200000,0.200000,0.400000,0.400000,0.800000
10,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.600000,0.800000,0.200000,0.200000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000
11,1.000000,0.200000,0.000000,1.000000,1.000000,0.600000,0.800000,0.800000,0.000000,0.200000,1.000000,0.200000,0.200000,0.200000,0.200000,1.000000,1.000000
12,1.000000,0.200000,0.200000,0.600000,1.000000,0.600000,0.400000,1.000000,0.000000,0.200000,0.600000,0.200000,0.200000,0.200000,0.200000,0.200000,0.600000
13,1.000000,0.000000,0.000000,0.800000,1.000000,0.600000,0.400000,1.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,0.200000,0.200000,0.800000
14,1.000000,0.200000,0.000000,0.400000,1.000000,0.800000,0.200000,1.000000,0.000000,0.400000,0.400000,0.200000,0.200000,0.200000,0.200000,0.400000,0.400000
15,1.000000,0.000000,0.000000,0.600000,1.000000,1.000000,0.600000,1.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.200000,0.600000,0.600000
16,1.000000,0.000000,0.200000,1.000000,1.000000,0.400000,0.400000,1.000000,0.200000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.200000,1.000000
17,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.600000,0.800000,0.000000,0.200000,0.600000,0.000000,0.000000,0.000000,0.200000,0.400000,0.600000
18,1.000000,0.000000,0.000000,0.400000,1.000000,0.800000,0.400000,0.800000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.400000,0.400000
19,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.400000,1.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.400000,0.600000
20,1.000000,0.000000,0.000000,0.400000,1.000000,0.800000,0.400000,0.800000,0.000000,0.600000,0.600000,0.000000,0.000000,0.000000,0.000000,0.400000,0.400000
21,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.400000,1.000000,0.000000,0.800000,0.600000,0.000000,0.000000,0.000000,0.000000,0.200000,0.600000
22,1.000000,0.000000,0.000000,0.600000,1.000000,0.600000,0.200000,1.000000,0.000000,0.200000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000
23,1.000000,0.200000,0.000000,1.000000,1.000000,0.400000,0.400000,1.000000,0.000000,0.200000,1.000000,0.200000,0.200000,0.200000,0.200000,0.600000,1.000000
24,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.400000,1.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.200000,0.600000
25,1.000000,0.000000,0.000000,0.800000,1.000000,0.600000,0.400000,1.000000,0.000000,0.400000,0.600000,0.000000,0.000000,0.000000,0.200000,0.600000,0.800000
26,1.000000,0.400000,0.000000,1.000000,1.000000,0.600000,0.600000,1.000000,0.000000,0.200000,1.000000,0.400000,0.200000,0.400000,0.400000,0.800000,1.000000
27,1.000000,0.000000,0.000000,0.600000,1.000000,0.800000,0.400000,1.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.600000,0.600000
28,1.000000,0.200000,0.000000,1.000000,1.000000,0.600000,1.000000,0.600000,0.000000,0.600000,1.000000,0.200000,0.200000,0.200000,0.200000,0.800000,1.000000
29,1.000000,0.000000,0.000000,0.600000,1.000000,1.000000,0.600000,1.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.000000,0.600000,0.600000
